AGESTA,reactordetails.aspx?id=27570&rid=2678F8FC-D178-42CF-882B-4F12AE6F9E00, HWR, Shut down,59.91908,30.26113
Akademik Lomonosov 1 (Vilyuchinsk),reactordetails.aspx?id=27570&rid=BC955EE4-8392-4C21-A4A1-6CB69EDEE20D, PWR, Under construction,59.91854,30.26113
Akademik Lomonosov 2 (Vilyuchinsk),reactordetails.aspx?id=27570&rid=AA13ABEE-FDAC-42D6-BE75-789D15B45CFE, PWR, Under construction,45.39501,35.79723
Aktash-1,reactordetails.aspx?id=27570&rid=CF98C857-54E2-4D2A-B8AB-C34059D28DAD, PWR/VVER, Suspended indefinitely/Cancelled,45.39601,35.79723
Aktash-2,reactordetails.aspx?id=27570&rid=68FF237E-9749-4B75-9A82-2E5B2C5831BF, PWR/VVER, Suspended indefinitely/Cancelled,39.8074,-5.69769
Almaraz-1,reactordetails.aspx?id=27570&rid=6880F9BA-52CC-4B65-AFE5-15B3FA3E5B93, PWR, Operating,39.8074,-5.69669
Almaraz-2,reactordetails.aspx?id=27570&rid=657E7A42-A8F0-4635-A928-0B326C0AD3FC, PWR, Operating,-23.008,-44.4567
Angra-1,reactordetails.aspx?id=27570&rid=4FAA9531-3299-417A-B3D4-D027B6725B09, PWR, Operating,-23.0065,-44.4578
Angra-2,reactordetails.aspx?id=27570&rid=D6157381-DCCE-4467-886B-74ADE9CEC934, PWR, Operating,-23.0099,-44.47
Angra-3,reactordetails.aspx?id=27570&rid=F6764B91-61C1-4004-A7CE-947612C934E6, PWR, ,35.3103,-93.2296
Arkansas Nuclear One-1,reactordetails.aspx?id=27570&rid=41B8F269-5626-4F09-B61F-DACE44664161, PWR, Operating,35.3103,-93.2286
Arkansas Nuclear One-2,reactordetails.aspx?id=27570&rid=1B03502F-FDD7-4BEA-84F9-E5677ACB9F35, PWR, Operating,40.1818,44.1472
Armenia-1 (Metsamor),reactordetails.aspx?id=27570&rid=888A54EE-AC17-4BEA-AD59-06A0DABCD7B8, PWR/VVER, Shut down,40.1813,44.1472
Armenia-2 (Metsamor),reactordetails.aspx?id=27570&rid=67EC4EFC-55BB-49C3-9356-087F17345F21, PWR/VVER, Operating,41.2016,0.571359
Asco-1,reactordetails.aspx?id=27570&rid=F7238B96-9128-4DC3-BA59-4D959C27C367, PWR, Operating,41.2016,0.572359
Asco-2,reactordetails.aspx?id=27570&rid=F3D8EA90-678C-48AF-A26B-0A13F587CF4F, PWR, Operating,-33.9669,-59.2086
Atucha-1,reactordetails.aspx?id=27570&rid=21B82E58-0AD0-432D-A39A-644B736B34BA, PHWR, Operating,-33.9673,-59.2033
Atucha-2,reactordetails.aspx?id=27570&rid=0C1C2BB4-9FA6-4752-B3EB-6C48D82130FB, PHWR, Under construction,52.0915,47.9519
Balakovo-1,reactordetails.aspx?id=27570&rid=74712D3D-C654-4A37-9C23-B2A4DC1A4209, PWR/VVER, Operating,52.0921,47.9536
Balakovo-2,reactordetails.aspx?id=27570&rid=A5F6F000-0141-408B-977D-FECDF72A8AF3, PWR/VVER, Operating,52.0927,47.9558
Balakovo-3,reactordetails.aspx?id=27570&rid=C24E3DEA-A8AB-4278-B77D-B4A0863B8428, PWR/VVER, Operating,52.0932,47.9579
Balakovo-4,reactordetails.aspx?id=27570&rid=8713893C-DD4F-4B19-AAA0-4C265AF5EEB9, PWR/VVER, Operating,52.0938,47.9604
Balakovo-5,reactordetails.aspx?id=27570&rid=61D2846D-00C6-4C5D-9794-03F040E939DC, PWR/VVER, Suspended indefinitely/Cancelled,52.0943,47.9623
Balakovo-6,reactordetails.aspx?id=27570&rid=DC385D8E-FBE0-4248-B980-1371CB77C4C3, PWR/VVER, Suspended indefinitely/Cancelled,55.7451,12.9256
Barsebaeck-1,reactordetails.aspx?id=27570&rid=B9B2C3C4-B3CF-4B56-9FA8-602F270AD171, BWR, Shut down,55.7446,12.9256
Barsebaeck-2,reactordetails.aspx?id=27570&rid=B32596D7-6CB7-4DA2-ABA7-1F1CBA1C3469, BWR, Shut down,40.6238,-80.4319
Beaver Valley-1,reactordetails.aspx?id=27570&rid=B23F9D46-1CEA-43F9-8547-B84C1A98E2C8, PWR, Operating,40.6238,-80.4309
Beaver Valley-2,reactordetails.aspx?id=27570&rid=CD86F02C-ADD0-4561-9467-17FF0DC0AB30, PWR, Operating,43.62453,25.18675
Belene-1,reactordetails.aspx?id=27570&rid=E7EB03B0-BBBD-42DF-8151-F9350F37AD8C, PWR/VVER, ,43.6223,25.1909
Belene-1 (Past Project),reactordetails.aspx?id=27570&rid=09CEB1F3-67E8-4D65-8558-0EBFAC533E1F, PWR/VVER, Suspended indefinitely/Cancelled,43.62453,25.1865
Belene-2,reactordetails.aspx?id=27570&rid=FBD82CEE-4428-43B9-80D9-B288F4DF78CD, ,,34.7055,-85.9278
Bellefonte-1,reactordetails.aspx?id=27570&rid=F5CEE5C4-80CA-43C7-96EB-0A5D97AF279A, PWR, Suspended indefinitely/Cancelled,34.705,-85.9278
Bellefonte-2,reactordetails.aspx?id=27570&rid=9B7B06C6-4CDA-4D37-9B9F-8784DC3B380F, PWR, Suspended indefinitely/Cancelled,47.5105,2.87116
Belleville-1,reactordetails.aspx?id=27570&rid=FDB840F9-F7B7-46F6-8CB1-BAEB5168E880, PWR, Operating,47.51,2.87123
Belleville-2,reactordetails.aspx?id=27570&rid=D29F7E5B-3A2F-48C9-91FF-C379DC0A950D, PWR, Operating,56.8424,61.3211
Beloyarsk-1,reactordetails.aspx?id=27570&rid=22A35673-CC62-45DD-87CC-FB6878AA3C98, LWGR/RBMK, Shut down,56.8424,61.3216
Beloyarsk-2,reactordetails.aspx?id=27570&rid=60FDF5F5-2432-4E55-9F74-EB9C3F49C41B, LWGR/RBMK, Shut down,56.8415,61.3188
Beloyarsk-3,reactordetails.aspx?id=27570&rid=28D4BF74-4E8A-405B-8BA2-9550365E4A5C, FBR, Operating,56.8612,61.3208
Beloyarsk-4,reactordetails.aspx?id=27570&rid=57D76E16-E420-43EA-A0FC-36C0FFFE1383, FBR, Under construction,51.692,-2.49373
Berkeley-1,reactordetails.aspx?id=27570&rid=FC0A148C-A56F-4313-93EA-3DE59B627899, GCR (Magnox), Shut down,51.6115,-2.49373
Berkeley-2,reactordetails.aspx?id=27570&rid=17B9CAA0-CDE5-4CD7-92F9-395444664D48, GCR (Magnox), Shut down,47.552,8.22946
Beznau-1,reactordetails.aspx?id=27570&rid=6DEEFC8A-B1C1-4D81-A707-EE5622F9B0D8, PWR, Operating,47.552,8.23046
Beznau-2,reactordetails.aspx?id=27570&rid=2B4C0AA4-A524-4347-BD6C-8FE8E621A62A, PWR, Operating,49.7085,8.41479
Biblis-A,reactordetails.aspx?id=27570&rid=9D4EBFB6-BD5B-4BC0-843D-3163085B467C, PWR, Operating,49.7078,8.41479
Biblis-B,reactordetails.aspx?id=27570&rid=032E11DD-FA6F-40E9-A6C2-ACD82D438839, PWR, Operating,45.3594,-85.1951
Big Rock Point,reactordetails.aspx?id=27570&rid=AF38AB52-5742-44BF-BEF2-67E5BDCBC568, BWR, Shut down,68.0586,166.492
Bilibino 1,reactordetails.aspx?id=27570&rid=5A32182D-B916-41EA-8094-0729A5A3A00D, LWGR/EGP, Operating,68.0586,166.493
Bilibino 2,reactordetails.aspx?id=27570&rid=75589097-358A-4313-A42B-6C460088F371, LWGR/EGP, Operating,68.0586,166.494
Bilibino 3,reactordetails.aspx?id=27570&rid=D7242CF5-B8E0-4988-BFB1-C16E58D12B3B, LWGR/EGP, Operating,68.0586,166.495
Bilibino 4,reactordetails.aspx?id=27570&rid=70173FBA-6AB5-405D-9916-E2B64636CAB0, LWGR/EGP, Operating,45.2562,-0.691293
Blayais-1,reactordetails.aspx?id=27570&rid=5FF6821F-F10A-40E8-9730-A1F066D2D0A8, PWR, Operating,45.2561,-0.690765
Blayais-2,reactordetails.aspx?id=27570&rid=742BDE07-2726-413C-8157-FCCD37D8C1F4, PWR, Operating,45.2561,-0.690331
Blayais-3,reactordetails.aspx?id=27570&rid=55E37393-16DB-4D8D-BCD1-AD99C5E76EA7, PWR, Operating,45.2561,-0.689882
Blayais-4,reactordetails.aspx?id=27570&rid=3BFFE4B6-810C-4BE5-A159-72F6CD9D21EF, PWR, Operating,43.607,51.283
BN-350 Aktau (Shevchenko),reactordetails.aspx?id=27570&rid=E55C38BA-B5F3-48AB-A8C4-CA6187E604B1, LMFBR, Shut down,48.4936,17.6869
Bohunice A-1,reactordetails.aspx?id=27570&rid=A7131D7D-0292-4C53-BDD4-7569CA5C5774, HWGCR, Shut down,48.4931,17.6869
Bohunice-1,reactordetails.aspx?id=27570&rid=DA51C6CD-6CB3-409B-B16C-42F04651125A, PWR/VVER, Shut down,48.4926,17.6869
Bohunice-2,reactordetails.aspx?id=27570&rid=D0E145F2-6886-4FF0-BE24-58869225E37A, PWR/VVER, ,48.4921,17.6869
Bohunice-3,reactordetails.aspx?id=27570&rid=680E471A-6BCB-496B-B2ED-921E53EC525A, PWR/VVER, Operating,48.4916,17.6869
Bohunice-4,reactordetails.aspx?id=27570&rid=75FEACEB-688D-43C9-B9C3-F3131B44CBAF, PWR/VVER, Operating,18.365,-67.2678
Bonus (Demo),reactordetails.aspx?id=27570&rid=4D295551-1856-4C76-A218-69790C56D9F9, BWR, Shut down,51.4311,3.71867
Borssele,reactordetails.aspx?id=27570&rid=397D2DB0-AB75-4ACC-B3A8-8FEDD33FC39D, PWR, Operating,51.2168,5.09937
BR-3 PWR (test),reactordetails.aspx?id=27570&rid=715DA364-EF46-4AD8-9908-554BB5AC2BAD, PWR, Shut down,51.7417,0.898978
